2025-06-11T18:11:16.127717Z [info     ] 2025-06-12 02:11:16,127 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.140494Z [info     ] 2025-06-12 02:11:16,140 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.154893Z [info     ] 2025-06-12 02:11:16,154 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.169871Z [info     ] 2025-06-12 02:11:16,169 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.184256Z [info     ] 2025-06-12 02:11:16,184 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.198439Z [info     ] 2025-06-12 02:11:16,198 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.212195Z [info     ] 2025-06-12 02:11:16,211 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.225906Z [info     ] 2025-06-12 02:11:16,225 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.241178Z [info     ] 2025-06-12 02:11:16,241 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.255471Z [info     ] 2025-06-12 02:11:16,255 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.268759Z [info     ] 2025-06-12 02:11:16,268 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.281091Z [info     ] 2025-06-12 02:11:16,280 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.293330Z [info     ] 2025-06-12 02:11:16,293 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.306373Z [info     ] 2025-06-12 02:11:16,306 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
2025-06-11T18:11:16.321194Z [info     ] 2025-06-12 02:11:16,321 | INFO     | target-bigquery      | Target sink for 'main-JC-202505-citibike-tripdata' is full. Draining... cmd_type=elb consumer=True job_name=dev:tap-duckdb-to-target-bigquery name=target-bigquery producer=False run_id=f0891c6d-eba4-4615-a901-d770e6a317de stdio=stderr string_id=target-bigquery
